,,,,Pump Price Rs/ Liter,,,,,
S.No,Customer Name,Address,City/Location,HSD,PMG,District,District 1,Province,Province
7230,ZEESHAN PETROLEUM,Mouza Joura B/W 19-20 Km from Authmuqam on Muzaffarabad / Authmuqam Road,Neelam,127.26,116.6,Neelam,Neelam,AJK,Punjab
6158,KAINAT PET. SER.,KUNDAL SHAHI NEELAM,,127.26,116.60,Neelam,Neelam,AJK,Punjab
943,ULTRA FUEL RAWALAKOT,"POST OFFICE PONILA DISTRICT POONCH TEHSIL RAWALAKOT , PARATI",RAWALAKOT,84.51,95.83,POONCH,POONCH,AJK,Punjab
8707,ULTRA FUEL RAW ALAKOT,"POST OFFICE PONILA DISTRICT POONCH TEHSIL RAW ALAKOT , PARATI",RAW ALAKOT,127.30,116.60,POONCH,POONCH,AJK,Punjab
1274,Farooq Filling Station,"Mouza Cheerh in K.M 5 From Rawala Kot On Rawala Kot-Hajeera Road,",,127.26,116.60,POONCH,POONCH,AJK,Punjab
408,SHAHEER-UR-RASHEED PETROLEUM,"Mouza Chiharr, on Kjaigala Road, Tehsil & Dist. Poonch Azad Kashmir",Poonch Azad Kashmir,85.95,77.47,POONCH,POONCH,AJK,Punjab
7168,SHAHEER-UR-RASHEED  PETROLEUM,"Mouza Chiharr, on Kjaigala Road,Tehsil & Dist. Poonch",Poonch Azad Kashmir,127.26,116.6,POONCH,POONCH,AJK,Punjab
10057,Al-Hasham Filling Station Abbaspur Punch,,Abbas Pur,127.26,116.60,POONCH,POONCH,AJK,Punjab
10084,Dewa Filling Station Palandri,,Palandri,127.26,116.60,RAWALAKOT,RAWALAKOT,AJK,Punjab
10085,Tahir Filling Station Rawalakot AJK,,Rawalakot,127.26,116.60,RAWALAKOT,RAWALAKOT,AJK,Punjab
7490,GULF FILLING STATION-RAWALAKOT,GOI NALA ROAD,RAWALAKOT,127.26,116.60,RAWALAKOT,RAWALAKOT,AJK,Punjab
7502,HAJIRA FILLING STATION,ABBASPUR ROAD,RAWALAKOT,127.26,116.60,RAWALAKOT,RAWALAKOT,AJK,Punjab
9183,FAZL-E-RABBI FILLING,BUS ADA RAWALAKOT,RAWALAKOT,87.11,77.79,RAWALAKOT,RAWALAKOT,AJK,Punjab
9361,Ultra fuels,Pairti Rawalakot-Azad Kashmir,"Rawalakot, Azad kashmir",87.11,77.79,RAWALAKOT,RAWALAKOT,AJK,Punjab
3086,Kashmir F/S,Abbaspur Hajira road,Rawalakot,127.26,116.60,RAWLAKOT,RAWLAKOT,AJK,Punjab
3087,Ultra Fuel,Jandal Khalkot Rawalkot  District Poonch,Rawalakot,127.26,116.60,RAWLAKOT,RAWLAKOT,AJK,Punjab
7839,SARSALA FILLING STATION,SAMANI ROAD,Samahni,127.26,116.60,Samahni,Samahni,AJK,Punjab
9212,HASSAN F/S SARSAWA,SARSAWA KOTLI ROAD,SARSAWA,87.11,77.79,SARSAWA,SARSAWA,AJK,Punjab
2597,GULFAM FS,Tarar Khel Road Tehsil Palandri District Sudnathi (AJK),,128.05,117.40,SUDNATHI,SUDNATHI,AJK,Punjab
6153,K.K FILLING STATION,KOTLI - RAWALPINDI ROAD AT BRAND TEHSIL,,127.26,116.60,AJK,,AJK,Punjab
2667,Jahanzeb P/s,Mouza Sehar Tehsil Awaran,Awaran,127.26,116.60,AWARAN,AWARAN,Balochistan,Punjab
2668,Malar P/s,Mouza Chery Kallar Tehsil Awaran,Malar,127.26,116.60,AWARAN,AWARAN,Balochistan,Punjab
5722,JAMALI PET SERVICE,BHAG DISTT.BOLAN,,128.52,117.86,BOLAN,BOLAN,Balochistan,Punjab
5790,BARAT KHAN PET SERVICE,KM 6-7 CHAMAN/QAT  ROAD CHAMAN,,128.35,117.69,CHAMAN,CHAMAN,Balochistan,Punjab
5846,RAFIQUE PET.SERVICE,MEHMOODABAD KILLAH ABDULLAH CHAMAN CHAMAN,,128.35,117.69,CHAMAN,CHAMAN,Balochistan,Punjab
5823,MASOORI PET SERVICE,PHELAWAGH (BAKER)DERA BUGIT,,127.26,116.60,DERA BUGIT,BUGIT,Balochistan,Punjab
5838,AKHTAR PET SERVICE,LOPEDERA BUGTI,,127.26,116.60,DERA BUGIT,DERA BUGIT,Balochistan,Punjab
5865,MIR CHAKIR KHAN,PIRKOH TEHSIL  DISTT DERA BUGTI,,127.26,116.60,DERA BUGIT,DERA BUGIT,Balochistan,Punjab
2593,ABDUL SATTAR F/S,"KASHMORE SUI ROAD, TEHSIL SUI DISTRICT DERA BUGTI",,128.45,117.80,DERA BUGTI,DERA BUGTI,Balochistan,Punjab
2595,MASHALLAH P/S,"MOUZA TOWN SUI ON KASHMORE-SUI ROAD, TEHSIL SUI DISTRICT DERA BUGTI",,128.45,117.80,DERA BUGTI,DERA BUGTI,Balochistan,Punjab
2723,Dost Filling Station,"Bolan, Highway - N-65",DMJ,127.75,117.09,DERA MURAD JAMALI,DERA MURAD JAMALI,Balochistan,Punjab
2752,East West trading corporation,Gawadar City,Gawadar,131.27,120.61,GAWADAR,GAWADAR,Balochistan,Punjab
8935,EAST AND WEST TRADING CORP.,DISTRICT,GWADAR,90.47,80.84,GWADAR,GWADAR,Balochistan,Punjab
110,BALOUCH FILLING STATION - HUB,"Lasbela Industrial State, Hub. Distt Lasbela, Baluchistan",Hub,86.42,77.89,Hub,Hub,Balochistan,Punjab
6818,BALOUCH FILLING STATION - HUB,"Lasbela Industrial State, Hub. Distt Lasbela",Hub,127.75,117.09,Hub,Hub,Balochistan,Punjab
1795,BILAL TRUCKING STATION,"Jacobabad, Dera Allahyar Bypass Balouchistan",,127.86,117.20,JAFARABAD,JAFARABAD,Balochistan,Punjab
1877,JAMALI FILLING STATION,"Osta Mohammad City District Dera Allahyar, Balouchistan",,128.25,117.59,JAFARABAD,JAFARABAD,Balochistan,Punjab
2805,Imran P/s.,Usta Mohd. Jhatpat at Ballan Shakh Survey # 329/2  Deh Sorh,Dera Allah Yaar,128.02,117.36,JAFARABAD,JAFARABAD,Balochistan,Punjab
2806,Farhan p/s.,Dera Allahyar,Dera Allah Yaar,127.95,117.29,JAFARABAD,JAFARABAD,Balochistan,Punjab
2807,Rehan P/s.,Usta Mohd. Jafarbad,Dera Allah Yaar,128.08,117.42,JAFARABAD,JAFARABAD,Balochistan,Punjab
6301,TAHIR FILL STATION,USTA MOHD KHAIROBYEPASS(0/1)USTAMOHD JAFARABAD,,128.12,117.46,JAFARABAD,JAFARABAD,Balochistan,Punjab
